Name,Address,Rating,User Ratings Total
Toyota of Hollywood Service Center,"6000 Hollywood Blvd, Los Angeles, CA 90028, United States",3.7,101
Royal Motors Beverly Hills,"9732 S Santa Monica Blvd, Beverly Hills, CA 90210, United States",4.9,13
Only Toyota,"6814 Crenshaw Blvd, Los Angeles, CA 90043, United States",4.2,40
Doctor Prius,"4455 W Pico Blvd, Los Angeles, CA 90019, United States",3.9,15
Carotech Automotive & Complete Car Care Center,"8687 W Pico Blvd, Los Angeles, CA 90035, United States",4.7,369
Mercedes-Benz of Beverly Hills Service Center,"400 Foothill Rd, Beverly Hills, CA 90210, United States",3.8,289
Marina del Rey Toyota Service Department,"4636 Lincoln Blvd, Marina Del Rey, CA 90292, United States",4.1,47
Best Automotive Repair,"1502 S Robertson Blvd, Los Angeles, CA 90035, United States",4.7,39
Car,"300 N Canon Dr, Beverly Hills, CA 90210, United States",0.0,0
North Hollywood Toyota Service,"4606 Lankershim Blvd, North Hollywood, CA 91602, United States",3.9,85
Lucy's Auto Center,"5601 W Pico Blvd, Los Angeles, CA 90019, United States",4.2,118
Toyota Santa Monica Service,"1230 Santa Monica Blvd, Santa Monica, CA 90404, United States",3.6,105
Keyes Toyota Service,"5855 Van Nuys Blvd suite #100, Van Nuys, CA 91401, United States",4.3,30
Superformance Foreign Auto Repair,"2316 Cotner Ave, Los Angeles, CA 90064, United States",4.9,212
Service Department at Culver City Toyota,"9077 Washington Blvd, Culver City, CA 90232, United States",3.7,207
North Hollywood Toyota Body Shop,"4645 Lankershim Blvd, North Hollywood, CA 91602, United States",4.0,74
Autologi LLC,"9440 S Santa Monica Blvd Ste 301, Beverly Hills, CA 90210, United States",0.0,0
Toyota Service Center South Bay,"18416 S Western Ave, Gardena, CA 90248, United States",4.4,273
Debbie Motors,"468 N Camden Dr Suite #248, Beverly Hills, CA 90210, United States",5.0,4
Culver City Toyota,"9077 Washington Blvd, Culver City, CA 90232, United States",4.2,5856
